"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4731","Выход из профиля (Log Out), используя панель","","Fri May 23 14:41:37 GMT 2025","passed","Fri May 23 14:41:41 GMT 2025","","test_dashboard","",""
"","30599","test_question_title_match[chromium-79535884]","","Fri May 23 14:42:52 GMT 2025","skipped","Fri May 23 14:43:22 GMT 2025","","test_questions","",""
"","2","MOCK: Проверка размера страницы через API","","Fri May 23 14:41:44 GMT 2025","passed","Fri May 23 14:41:44 GMT 2025","","test_tags","",""
"","31119","test_click_companies_button[chromium]","","Fri May 23 14:41:46 GMT 2025","broken","Fri May 23 14:42:17 GMT 2025","","test_dashboard","",""
"","1777","test_API_users[chromium]","","Fri May 23 14:42:19 GMT 2025","passed","Fri May 23 14:42:20 GMT 2025","","test_questions","",""
"","0","test_create_question[chromium]","","Fri May 23 14:42:11 GMT 2025","skipped","Fri May 23 14:42:11 GMT 2025","","test_questions","",""
"","1914","test_click_discussions_button[chromium]","","Fri May 23 14:42:18 GMT 2025","passed","Fri May 23 14:42:19 GMT 2025","","test_dashboard","",""
"Переход со страницы /questions на страницу /tags нажатием соответствующей кнопки","2046","Переход со страницы /questions на страницу /tags","","Fri May 23 14:41:42 GMT 2025","passed","Fri May 23 14:41:44 GMT 2025","","test_dashboard","",""
"","1741","test_click_questions_button[chromium]","","Fri May 23 14:42:30 GMT 2025","passed","Fri May 23 14:42:32 GMT 2025","","test_dashboard","",""
"","7890","Авторизация с корректными учетными данными","","Fri May 23 14:41:44 GMT 2025","skipped","Fri May 23 14:41:52 GMT 2025","TestLogin","test_login","",""
"Тест входа с неправильными учетными данными","2936","Авторизация с некорректными учетными данными","","Fri May 23 14:41:32 GMT 2025","passed","Fri May 23 14:41:35 GMT 2025","TestLogin","test_login","",""
"Проверка что на 1 странице не отображается кнопка Prev","1395","Проверка отображения кнопки Prev на 1 странице","","Fri May 23 14:41:42 GMT 2025","passed","Fri May 23 14:41:43 GMT 2025","TestTagsPagination","test_tags","",""
"","10035","test_click_collectives_button[chromium]","","Fri May 23 14:42:20 GMT 2025","passed","Fri May 23 14:42:30 GMT 2025","","test_dashboard","",""
"","419","test_pagination_empty_page[chromium]","","Fri May 23 14:41:41 GMT 2025","passed","Fri May 23 14:41:42 GMT 2025","TestTagsPagination","test_tags","",""
"Проверка корректности перехода между страницами","1653","Проверка перехода между страницами","","Fri May 23 14:41:36 GMT 2025","passed","Fri May 23 14:41:37 GMT 2025","TestTagsPagination","test_tags","",""
"","0","test_discard_question[chromium]","","Fri May 23 14:42:11 GMT 2025","skipped","Fri May 23 14:42:11 GMT 2025","","test_questions","",""
"Проверка корректности количества тегов при разных значениях pagesize","135","Проверка размера страницы через API","","Fri May 23 14:41:44 GMT 2025","passed","Fri May 23 14:41:44 GMT 2025","TestTagsPagination","test_tags","",""
"Проверка корректности количества тегов при разных значениях pagesize","130","Проверка размера страницы через API","","Fri May 23 14:41:44 GMT 2025","passed","Fri May 23 14:41:44 GMT 2025","TestTagsPagination","test_tags","",""
"Проверка корректности перехода между страницами","1135","Проверка перехода между страницами","","Fri May 23 14:41:34 GMT 2025","passed","Fri May 23 14:41:35 GMT 2025","TestTagsPagination","test_tags","",""
"","34810","test_create_duplicate_question[chromium]","","Fri May 23 14:41:36 GMT 2025","skipped","Fri May 23 14:42:11 GMT 2025","","test_questions","",""
"","0","test_search[chromium]","","Fri May 23 14:42:32 GMT 2025","skipped","Fri May 23 14:42:32 GMT 2025","","test_dashboard","",""
"","1934","test_click_users_button[chromium]","","Fri May 23 14:41:44 GMT 2025","passed","Fri May 23 14:41:46 GMT 2025","","test_dashboard","",""
"","8365","Авторизация с корректными учетными данными","","Fri May 23 14:41:36 GMT 2025","skipped","Fri May 23 14:41:44 GMT 2025","TestLogin","test_login","",""
"Проверка корректности количества тегов при разных значениях pagesize","153","Проверка размера страницы через API","","Fri May 23 14:41:44 GMT 2025","passed","Fri May 23 14:41:44 GMT 2025","TestTagsPagination","test_tags","",""
"Проверка корректности перехода между страницами","1591","Проверка перехода между страницами","","Fri May 23 14:41:38 GMT 2025","passed","Fri May 23 14:41:39 GMT 2025","TestTagsPagination","test_tags","",""
"Проверка соответствия данных пагинации между UI и API","1664","Сравнение данных пагинации между UI и API","","Fri May 23 14:41:40 GMT 2025","passed","Fri May 23 14:41:41 GMT 2025","TestTagsPagination","test_tags","",""
"","143","test_pagination_pagesize","","Fri May 23 14:41:44 GMT 2025","passed","Fri May 23 14:41:44 GMT 2025","TestTagsPagination","test_tags","",""
"Проверка что на странице отображается 36 тегов по умолчанию","1797","Проверка количества тегов на странице по умолчанию (36)","","Fri May 23 14:41:32 GMT 2025","passed","Fri May 23 14:41:34 GMT 2025","TestTagsPagination","test_tags","",""
"","30613","test_question_title_match[chromium-4]","","Fri May 23 14:42:21 GMT 2025","skipped","Fri May 23 14:42:51 GMT 2025","","test_questions","",""
"","0","test_welcome_message[chromium]","","Fri May 23 14:41:52 GMT 2025","skipped","Fri May 23 14:41:52 GMT 2025","","test_home","",""
