"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8207","Авторизация с корректными учетными данными","","Thu Apr 03 15:12:20 GMT 2025","skipped","Thu Apr 03 15:12:28 GMT 2025","TestLogin","test_login","",""
"","5063","Выход из профиля (Log Out), используя панель","","Thu Apr 03 15:12:21 GMT 2025","passed","Thu Apr 03 15:12:26 GMT 2025","","test_dashboard","",""
"","14268","test_click_collectives_button[chromium]","","Thu Apr 03 15:12:35 GMT 2025","passed","Thu Apr 03 15:12:49 GMT 2025","","test_dashboard","",""
"Проверка что на странице отображается 36 тегов по умолчанию","1875","Проверка количества тегов на странице по умолчанию (36)","","Thu Apr 03 15:12:17 GMT 2025","passed","Thu Apr 03 15:12:19 GMT 2025","TestTagsPagination","test_tags","",""
"Проверка корректности количества тегов при разных значениях pagesize","113","Проверка размера страницы через API","","Thu Apr 03 15:12:28 GMT 2025","passed","Thu Apr 03 15:12:28 GMT 2025","TestTagsPagination","test_tags","",""
"","34590","test_create_duplicate_question[chromium]","","Thu Apr 03 15:12:21 GMT 2025","skipped","Thu Apr 03 15:12:56 GMT 2025","","test_questions","",""
"","1171","test_question_title_match[chromium-4]","","Thu Apr 03 15:13:08 GMT 2025","passed","Thu Apr 03 15:13:09 GMT 2025","","test_questions","",""
"","0","test_welcome_message[chromium]","","Thu Apr 03 15:12:37 GMT 2025","skipped","Thu Apr 03 15:12:37 GMT 2025","","test_home","",""
"Проверка корректности количества тегов при разных значениях pagesize","186","Проверка размера страницы через API","","Thu Apr 03 15:12:28 GMT 2025","passed","Thu Apr 03 15:12:28 GMT 2025","TestTagsPagination","test_tags","",""
"Проверка корректности перехода между страницами","1653","Проверка перехода между страницами","","Thu Apr 03 15:12:22 GMT 2025","passed","Thu Apr 03 15:12:24 GMT 2025","TestTagsPagination","test_tags","",""
"","0","test_search[chromium]","","Thu Apr 03 15:12:52 GMT 2025","skipped","Thu Apr 03 15:12:52 GMT 2025","","test_dashboard","",""
"","387","test_pagination_empty_page[chromium]","","Thu Apr 03 15:12:26 GMT 2025","passed","Thu Apr 03 15:12:26 GMT 2025","TestTagsPagination","test_tags","",""
"","1134","test_question_title_match[chromium-79535884]","","Thu Apr 03 15:13:09 GMT 2025","passed","Thu Apr 03 15:13:11 GMT 2025","","test_questions","",""
"","1971","test_click_discussions_button[chromium]","","Thu Apr 03 15:12:33 GMT 2025","passed","Thu Apr 03 15:12:35 GMT 2025","","test_dashboard","",""
"","7919","Авторизация с корректными учетными данными","","Thu Apr 03 15:12:28 GMT 2025","skipped","Thu Apr 03 15:12:36 GMT 2025","TestLogin","test_login","",""
"","4039","test_API_users[chromium]","","Thu Apr 03 15:13:04 GMT 2025","passed","Thu Apr 03 15:13:08 GMT 2025","","test_questions","",""
"","1949","test_click_users_button[chromium]","","Thu Apr 03 15:12:28 GMT 2025","passed","Thu Apr 03 15:12:30 GMT 2025","","test_dashboard","",""
"","0","test_create_question[chromium]","","Thu Apr 03 15:12:56 GMT 2025","skipped","Thu Apr 03 15:12:56 GMT 2025","","test_questions","",""
"","2283","test_click_companies_button[chromium]","","Thu Apr 03 15:12:30 GMT 2025","passed","Thu Apr 03 15:12:33 GMT 2025","","test_dashboard","",""
"Переход со страницы /questions на страницу /tags нажатием соответствующей кнопки","1752","Переход со страницы /questions на страницу /tags","","Thu Apr 03 15:12:26 GMT 2025","passed","Thu Apr 03 15:12:28 GMT 2025","","test_dashboard","",""
"Проверка корректности перехода между страницами","1104","Проверка перехода между страницами","","Thu Apr 03 15:12:19 GMT 2025","passed","Thu Apr 03 15:12:20 GMT 2025","TestTagsPagination","test_tags","",""
"","160","test_pagination_pagesize","","Thu Apr 03 15:12:28 GMT 2025","passed","Thu Apr 03 15:12:28 GMT 2025","TestTagsPagination","test_tags","",""
"Проверка соответствия данных пагинации между UI и API","1426","Сравнение данных пагинации между UI и API","","Thu Apr 03 15:12:24 GMT 2025","passed","Thu Apr 03 15:12:25 GMT 2025","TestTagsPagination","test_tags","",""
"","1891","test_click_questions_button[chromium]","","Thu Apr 03 15:12:49 GMT 2025","passed","Thu Apr 03 15:12:51 GMT 2025","","test_dashboard","",""
"","0","test_discard_question[chromium]","","Thu Apr 03 15:12:56 GMT 2025","skipped","Thu Apr 03 15:12:56 GMT 2025","","test_questions","",""
"Проверка корректности количества тегов при разных значениях pagesize","169","Проверка размера страницы через API","","Thu Apr 03 15:12:28 GMT 2025","passed","Thu Apr 03 15:12:28 GMT 2025","TestTagsPagination","test_tags","",""
"Проверка что на 1 странице не отображается кнопка Prev","1306","Проверка отображения кнопки Prev на 1 странице","","Thu Apr 03 15:12:26 GMT 2025","passed","Thu Apr 03 15:12:28 GMT 2025","TestTagsPagination","test_tags","",""
"Тест входа с неправильными учетными данными","3127","Авторизация с некорректными учетными данными","","Thu Apr 03 15:12:17 GMT 2025","passed","Thu Apr 03 15:12:20 GMT 2025","TestLogin","test_login","",""
"Проверка корректности перехода между страницами","1779","Проверка перехода между страницами","","Thu Apr 03 15:12:20 GMT 2025","passed","Thu Apr 03 15:12:22 GMT 2025","TestTagsPagination","test_tags","",""
