"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5350","Выход из профиля (Log Out), используя панель","","Tue May 20 16:08:02 GMT 2025","passed","Tue May 20 16:08:07 GMT 2025","","test_dashboard","",""
"Проверка соответствия данных пагинации между UI и API","1723","Сравнение данных пагинации между UI и API","","Tue May 20 16:08:05 GMT 2025","passed","Tue May 20 16:08:07 GMT 2025","TestTagsPagination","test_tags","",""
"","30607","test_question_title_match[chromium-79535884]","","Tue May 20 16:09:00 GMT 2025","skipped","Tue May 20 16:09:30 GMT 2025","","test_questions","",""
"","2014","test_click_collectives_button[chromium]","","Tue May 20 16:08:17 GMT 2025","passed","Tue May 20 16:08:19 GMT 2025","","test_dashboard","",""
"","0","test_create_question[chromium]","","Tue May 20 16:08:15 GMT 2025","skipped","Tue May 20 16:08:15 GMT 2025","","test_questions","",""
"","0","test_discard_question[chromium]","","Tue May 20 16:08:15 GMT 2025","skipped","Tue May 20 16:08:15 GMT 2025","","test_questions","",""
"","2075","test_click_users_button[chromium]","","Tue May 20 16:08:10 GMT 2025","passed","Tue May 20 16:08:12 GMT 2025","","test_dashboard","",""
"Проверка корректности перехода между страницами","1583","Проверка перехода между страницами","","Tue May 20 16:08:03 GMT 2025","passed","Tue May 20 16:08:05 GMT 2025","TestTagsPagination","test_tags","",""
"","186","test_pagination_pagesize","","Tue May 20 16:08:10 GMT 2025","passed","Tue May 20 16:08:10 GMT 2025","TestTagsPagination","test_tags","",""
"Проверка корректности количества тегов при разных значениях pagesize","226","Проверка размера страницы через API","","Tue May 20 16:08:10 GMT 2025","passed","Tue May 20 16:08:10 GMT 2025","TestTagsPagination","test_tags","",""
"","0","test_welcome_message[chromium]","","Tue May 20 16:08:19 GMT 2025","skipped","Tue May 20 16:08:19 GMT 2025","","test_home","",""
"Переход со страницы /questions на страницу /tags нажатием соответствующей кнопки","1942","Переход со страницы /questions на страницу /tags","","Tue May 20 16:08:08 GMT 2025","passed","Tue May 20 16:08:10 GMT 2025","","test_dashboard","",""
"","2120","test_click_discussions_button[chromium]","","Tue May 20 16:08:14 GMT 2025","passed","Tue May 20 16:08:16 GMT 2025","","test_dashboard","",""
"Проверка корректности количества тегов при разных значениях pagesize","256","Проверка размера страницы через API","","Tue May 20 16:08:09 GMT 2025","passed","Tue May 20 16:08:10 GMT 2025","TestTagsPagination","test_tags","",""
"","8245","Авторизация с корректными учетными данными","","Tue May 20 16:08:02 GMT 2025","skipped","Tue May 20 16:08:10 GMT 2025","TestLogin","test_login","",""
"","30618","test_question_title_match[chromium-4]","","Tue May 20 16:08:29 GMT 2025","skipped","Tue May 20 16:08:59 GMT 2025","","test_questions","",""
"","0","test_search[chromium]","","Tue May 20 16:08:22 GMT 2025","skipped","Tue May 20 16:08:22 GMT 2025","","test_dashboard","",""
"Проверка что на 1 странице не отображается кнопка Prev","1237","Проверка отображения кнопки Prev на 1 странице","","Tue May 20 16:08:07 GMT 2025","passed","Tue May 20 16:08:09 GMT 2025","TestTagsPagination","test_tags","",""
"","13700","test_create_duplicate_question[chromium]","","Tue May 20 16:08:01 GMT 2025","passed","Tue May 20 16:08:15 GMT 2025","","test_questions","",""
"","5145","test_API_users[chromium]","","Tue May 20 16:08:23 GMT 2025","passed","Tue May 20 16:08:29 GMT 2025","","test_questions","",""
"Проверка корректности перехода между страницами","1658","Проверка перехода между страницами","","Tue May 20 16:08:01 GMT 2025","passed","Tue May 20 16:08:03 GMT 2025","TestTagsPagination","test_tags","",""
"","341","test_pagination_empty_page[chromium]","","Tue May 20 16:08:07 GMT 2025","passed","Tue May 20 16:08:07 GMT 2025","TestTagsPagination","test_tags","",""
"Проверка что на странице отображается 36 тегов по умолчанию","1776","Проверка количества тегов на странице по умолчанию (36)","","Tue May 20 16:07:58 GMT 2025","passed","Tue May 20 16:08:00 GMT 2025","TestTagsPagination","test_tags","",""
"","7853","Авторизация с корректными учетными данными","","Tue May 20 16:08:10 GMT 2025","skipped","Tue May 20 16:08:18 GMT 2025","TestLogin","test_login","",""
"Тест входа с неправильными учетными данными","3663","Авторизация с некорректными учетными данными","","Tue May 20 16:07:58 GMT 2025","passed","Tue May 20 16:08:02 GMT 2025","TestLogin","test_login","",""
"Проверка корректности количества тегов при разных значениях pagesize","448","Проверка размера страницы через API","","Tue May 20 16:08:09 GMT 2025","passed","Tue May 20 16:08:09 GMT 2025","TestTagsPagination","test_tags","",""
"","2007","test_click_companies_button[chromium]","","Tue May 20 16:08:12 GMT 2025","passed","Tue May 20 16:08:14 GMT 2025","","test_dashboard","",""
"","1","MOCK: Проверка размера страницы через API","","Tue May 20 16:08:10 GMT 2025","passed","Tue May 20 16:08:10 GMT 2025","","test_tags","",""
"","2205","test_click_questions_button[chromium]","","Tue May 20 16:08:19 GMT 2025","passed","Tue May 20 16:08:21 GMT 2025","","test_dashboard","",""
"Проверка корректности перехода между страницами","1145","Проверка перехода между страницами","","Tue May 20 16:08:00 GMT 2025","passed","Tue May 20 16:08:01 GMT 2025","TestTagsPagination","test_tags","",""
