"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Тест входа с неправильными учетными данными","2869","Авторизация с некорректными учетными данными","","Fri Jun 06 20:33:13 GMT 2025","passed","Fri Jun 06 20:33:16 GMT 2025","TestLogin","test_login","",""
"","125","test_pagination_pagesize","","Fri Jun 06 20:33:24 GMT 2025","passed","Fri Jun 06 20:33:24 GMT 2025","TestTagsPagination","test_tags","",""
"","8188","Авторизация с корректными учетными данными","","Fri Jun 06 20:33:16 GMT 2025","skipped","Fri Jun 06 20:33:24 GMT 2025","TestLogin","test_login","",""
"","0","test_welcome_message[chromium]","","Fri Jun 06 20:33:32 GMT 2025","skipped","Fri Jun 06 20:33:32 GMT 2025","","test_home","",""
"","1","MOCK: Проверка размера страницы через API","","Fri Jun 06 20:33:24 GMT 2025","passed","Fri Jun 06 20:33:24 GMT 2025","","test_tags","",""
"","0","test_create_question[chromium]","","Fri Jun 06 20:33:51 GMT 2025","skipped","Fri Jun 06 20:33:51 GMT 2025","","test_questions","",""
"Проверка корректности перехода между страницами","1215","Проверка перехода между страницами","","Fri Jun 06 20:33:22 GMT 2025","passed","Fri Jun 06 20:33:24 GMT 2025","TestTagsPagination","test_tags","",""
"Проверка корректности количества тегов при разных значениях pagesize","156","Проверка размера страницы через API","","Fri Jun 06 20:33:24 GMT 2025","passed","Fri Jun 06 20:33:24 GMT 2025","TestTagsPagination","test_tags","",""
"","31118","test_click_discussions_button[chromium]","","Fri Jun 06 20:33:29 GMT 2025","broken","Fri Jun 06 20:34:00 GMT 2025","","test_dashboard","",""
"","168","test_API_users[chromium]","","Fri Jun 06 20:33:59 GMT 2025","passed","Fri Jun 06 20:33:59 GMT 2025","","test_questions","",""
"","7691","Авторизация с корректными учетными данными","","Fri Jun 06 20:33:25 GMT 2025","skipped","Fri Jun 06 20:33:32 GMT 2025","TestLogin","test_login","",""
"","4906","Выход из профиля (Log Out), используя панель","","Fri Jun 06 20:33:17 GMT 2025","passed","Fri Jun 06 20:33:22 GMT 2025","","test_dashboard","",""
"","1831","test_click_questions_button[chromium]","","Fri Jun 06 20:34:11 GMT 2025","passed","Fri Jun 06 20:34:13 GMT 2025","","test_dashboard","",""
"","34301","test_create_duplicate_question[chromium]","","Fri Jun 06 20:33:17 GMT 2025","skipped","Fri Jun 06 20:33:51 GMT 2025","","test_questions","",""
"","10313","test_click_collectives_button[chromium]","","Fri Jun 06 20:34:01 GMT 2025","passed","Fri Jun 06 20:34:11 GMT 2025","","test_dashboard","",""
"","30577","test_question_title_match[chromium-79535884]","","Fri Jun 06 20:34:31 GMT 2025","skipped","Fri Jun 06 20:35:01 GMT 2025","","test_questions","",""
"","335","test_pagination_empty_page[chromium]","","Fri Jun 06 20:33:19 GMT 2025","passed","Fri Jun 06 20:33:19 GMT 2025","TestTagsPagination","test_tags","",""
"","2751","test_click_companies_button[chromium]","","Fri Jun 06 20:33:26 GMT 2025","passed","Fri Jun 06 20:33:29 GMT 2025","","test_dashboard","",""
"Проверка корректности количества тегов при разных значениях pagesize","121","Проверка размера страницы через API","","Fri Jun 06 20:33:24 GMT 2025","passed","Fri Jun 06 20:33:24 GMT 2025","TestTagsPagination","test_tags","",""
"Проверка корректности количества тегов при разных значениях pagesize","106","Проверка размера страницы через API","","Fri Jun 06 20:33:24 GMT 2025","passed","Fri Jun 06 20:33:24 GMT 2025","TestTagsPagination","test_tags","",""
"Проверка корректности перехода между страницами","1117","Проверка перехода между страницами","","Fri Jun 06 20:33:15 GMT 2025","passed","Fri Jun 06 20:33:16 GMT 2025","TestTagsPagination","test_tags","",""
"","30592","test_question_title_match[chromium-4]","","Fri Jun 06 20:34:00 GMT 2025","skipped","Fri Jun 06 20:34:30 GMT 2025","","test_questions","",""
"Проверка соответствия данных пагинации между UI и API","1844","Сравнение данных пагинации между UI и API","","Fri Jun 06 20:33:16 GMT 2025","passed","Fri Jun 06 20:33:18 GMT 2025","TestTagsPagination","test_tags","",""
"","1975","test_click_users_button[chromium]","","Fri Jun 06 20:33:24 GMT 2025","passed","Fri Jun 06 20:33:26 GMT 2025","","test_dashboard","",""
"Проверка что на странице отображается 36 тегов по умолчанию","1789","Проверка количества тегов на странице по умолчанию (36)","","Fri Jun 06 20:33:13 GMT 2025","passed","Fri Jun 06 20:33:15 GMT 2025","TestTagsPagination","test_tags","",""
"Проверка что на 1 странице не отображается кнопка Prev","1529","Проверка отображения кнопки Prev на 1 странице","","Fri Jun 06 20:33:19 GMT 2025","passed","Fri Jun 06 20:33:21 GMT 2025","TestTagsPagination","test_tags","",""
"Переход со страницы /questions на страницу /tags нажатием соответствующей кнопки","2010","Переход со страницы /questions на страницу /tags","","Fri Jun 06 20:33:22 GMT 2025","passed","Fri Jun 06 20:33:24 GMT 2025","","test_dashboard","",""
"Проверка корректности перехода между страницами","1230","Проверка перехода между страницами","","Fri Jun 06 20:33:21 GMT 2025","passed","Fri Jun 06 20:33:22 GMT 2025","TestTagsPagination","test_tags","",""
"","0","test_discard_question[chromium]","","Fri Jun 06 20:33:51 GMT 2025","skipped","Fri Jun 06 20:33:51 GMT 2025","","test_questions","",""
"","0","test_search[chromium]","","Fri Jun 06 20:34:13 GMT 2025","skipped","Fri Jun 06 20:34:13 GMT 2025","","test_dashboard","",""
