"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_search[chromium]","","Fri Jan 02 21:39:29 UTC 2026","skipped","Fri Jan 02 21:39:29 UTC 2026","","test_dashboard","",""
"Переход со страницы /questions на страницу /tags нажатием соответствующей кнопки","31103","Переход со страницы /questions на страницу /tags","","Fri Jan 02 21:36:21 UTC 2026","broken","Fri Jan 02 21:36:52 UTC 2026","","test_dashboard","",""
"","0","Выход из профиля (Log Out), используя панель","","Fri Jan 02 21:35:49 UTC 2026","skipped","Fri Jan 02 21:35:49 UTC 2026","","test_dashboard","",""
"","31215","Авторизация с корректными учетными данными","","Fri Jan 02 21:36:21 UTC 2026","skipped","Fri Jan 02 21:36:52 UTC 2026","TestLogin","test_login","",""
"Проверка соответствия данных пагинации между UI и API","1065","Сравнение данных пагинации между UI и API","","Fri Jan 02 21:36:22 UTC 2026","failed","Fri Jan 02 21:36:23 UTC 2026","TestTagsPagination","test_tags","",""
"Проверка корректности перехода между страницами","30698","Проверка перехода между страницами","","Fri Jan 02 21:36:55 UTC 2026","broken","Fri Jan 02 21:37:25 UTC 2026","TestTagsPagination","test_tags","",""
"","307","test_pagination_empty_page[chromium]","","Fri Jan 02 21:36:23 UTC 2026","passed","Fri Jan 02 21:36:24 UTC 2026","TestTagsPagination","test_tags","",""
"Проверка корректности перехода между страницами","30692","Проверка перехода между страницами","","Fri Jan 02 21:37:26 UTC 2026","broken","Fri Jan 02 21:37:56 UTC 2026","TestTagsPagination","test_tags","",""
"","0","test_welcome_message[chromium]","","Fri Jan 02 21:35:49 UTC 2026","skipped","Fri Jan 02 21:35:49 UTC 2026","","test_home","",""
"","31204","Авторизация с корректными учетными данными","","Fri Jan 02 21:36:52 UTC 2026","skipped","Fri Jan 02 21:37:24 UTC 2026","TestLogin","test_login","",""
"","31089","test_click_companies_button[chromium]","","Fri Jan 02 21:37:24 UTC 2026","broken","Fri Jan 02 21:37:55 UTC 2026","","test_dashboard","",""
"Проверка корректности перехода между страницами","30810","Проверка перехода между страницами","","Fri Jan 02 21:35:51 UTC 2026","broken","Fri Jan 02 21:36:21 UTC 2026","TestTagsPagination","test_tags","",""
"Проверка корректности количества тегов при разных значениях pagesize","168","Проверка размера страницы через API","","Fri Jan 02 21:37:57 UTC 2026","passed","Fri Jan 02 21:37:57 UTC 2026","TestTagsPagination","test_tags","",""
"","31112","test_click_discussions_button[chromium]","","Fri Jan 02 21:37:55 UTC 2026","broken","Fri Jan 02 21:38:26 UTC 2026","","test_dashboard","",""
"","31098","test_click_users_button[chromium]","","Fri Jan 02 21:36:52 UTC 2026","broken","Fri Jan 02 21:37:24 UTC 2026","","test_dashboard","",""
"","31205","test_click_questions_button[chromium]","","Fri Jan 02 21:38:58 UTC 2026","broken","Fri Jan 02 21:39:29 UTC 2026","","test_dashboard","",""
"","31084","test_click_collectives_button[chromium]","","Fri Jan 02 21:38:26 UTC 2026","broken","Fri Jan 02 21:38:57 UTC 2026","","test_dashboard","",""
"Проверка что на странице отображается 36 тегов по умолчанию","860","Проверка количества тегов на странице по умолчанию (36)","","Fri Jan 02 21:35:49 UTC 2026","failed","Fri Jan 02 21:35:50 UTC 2026","TestTagsPagination","test_tags","",""
"","1","MOCK: Проверка размера страницы через API","","Fri Jan 02 21:37:57 UTC 2026","passed","Fri Jan 02 21:37:57 UTC 2026","","test_tags","",""
"Тест входа с неправильными учетными данными","31177","Авторизация с некорректными учетными данными","","Fri Jan 02 21:35:49 UTC 2026","broken","Fri Jan 02 21:36:21 UTC 2026","TestLogin","test_login","",""
"Проверка корректности количества тегов при разных значениях pagesize","243","Проверка размера страницы через API","","Fri Jan 02 21:37:57 UTC 2026","passed","Fri Jan 02 21:37:57 UTC 2026","TestTagsPagination","test_tags","",""
"Проверка что на 1 странице не отображается кнопка Prev","30712","Проверка отображения кнопки Prev на 1 странице","","Fri Jan 02 21:36:24 UTC 2026","broken","Fri Jan 02 21:36:54 UTC 2026","TestTagsPagination","test_tags","",""
"Проверка корректности количества тегов при разных значениях pagesize","151","Проверка размера страницы через API","","Fri Jan 02 21:37:57 UTC 2026","passed","Fri Jan 02 21:37:57 UTC 2026","TestTagsPagination","test_tags","",""
