"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Тест входа с неправильными учетными данными","0","Авторизация с некорректными учетными данными","","Mon Mar 24 19:09:58 GMT 2025","broken","Mon Mar 24 19:09:58 GMT 2025","","test_login","",""
"","0","test_create_question[chromium]","","Mon Mar 24 19:09:59 GMT 2025","broken","Mon Mar 24 19:09:59 GMT 2025","","test_questions","",""
"","0","test_click_collectives_button[chromium]","","Mon Mar 24 19:09:59 GMT 2025","broken","Mon Mar 24 19:09:59 GMT 2025","","test_login","",""
"","0","test_click_discussions_button[chromium]","","Mon Mar 24 19:09:58 GMT 2025","broken","Mon Mar 24 19:09:58 GMT 2025","","test_login","",""
"","0","Авторизация с корректными учетными данными","","Mon Mar 24 19:09:59 GMT 2025","broken","Mon Mar 24 19:09:59 GMT 2025","","test_login","",""
"Переход со страницы /questions на страницу /tags нажатием соответствующей кнопки","0","Переход со страницы /questions на страницу /tags","","Mon Mar 24 19:09:58 GMT 2025","broken","Mon Mar 24 19:09:58 GMT 2025","","test_login","",""
"","0","test_click_users_button[chromium]","","Mon Mar 24 19:09:58 GMT 2025","broken","Mon Mar 24 19:09:58 GMT 2025","","test_login","",""
"","0","test_click_companies_button[chromium]","","Mon Mar 24 19:09:58 GMT 2025","broken","Mon Mar 24 19:09:58 GMT 2025","","test_login","",""
"","0","test_discard_question[chromium]","","Mon Mar 24 19:09:59 GMT 2025","broken","Mon Mar 24 19:09:59 GMT 2025","","test_questions","",""
"","0","test_create_duplicate_question[chromium]","","Mon Mar 24 19:09:59 GMT 2025","broken","Mon Mar 24 19:09:59 GMT 2025","","test_questions","",""
"","0","test_click_questions_button[chromium]","","Mon Mar 24 19:09:59 GMT 2025","broken","Mon Mar 24 19:09:59 GMT 2025","","test_login","",""
"","0","Выход из профиля (Log Out), используя панель","","Mon Mar 24 19:09:57 GMT 2025","broken","Mon Mar 24 19:09:57 GMT 2025","","test_dashboard","",""
"","0","Авторизация с корректными учетными данными","","Mon Mar 24 19:09:59 GMT 2025","skipped","Mon Mar 24 19:09:59 GMT 2025","","test_login","",""
