"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2560","test_click_companies_button[chromium]","","Fri May 23 15:19:34 GMT 2025","passed","Fri May 23 15:19:37 GMT 2025","","test_dashboard","",""
"","7868","Авторизация с корректными учетными данными","","Fri May 23 15:19:33 GMT 2025","skipped","Fri May 23 15:19:41 GMT 2025","TestLogin","test_login","",""
"Проверка корректности перехода между страницами","1881","Проверка перехода между страницами","","Fri May 23 15:19:24 GMT 2025","passed","Fri May 23 15:19:26 GMT 2025","TestTagsPagination","test_tags","",""
"Тест входа с неправильными учетными данными","2962","Авторизация с некорректными учетными данными","","Fri May 23 15:19:21 GMT 2025","passed","Fri May 23 15:19:24 GMT 2025","TestLogin","test_login","",""
"Проверка корректности перехода между страницами","1764","Проверка перехода между страницами","","Fri May 23 15:19:27 GMT 2025","passed","Fri May 23 15:19:28 GMT 2025","TestTagsPagination","test_tags","",""
"","4809","Выход из профиля (Log Out), используя панель","","Fri May 23 15:19:25 GMT 2025","passed","Fri May 23 15:19:30 GMT 2025","","test_dashboard","",""
"Переход со страницы /questions на страницу /tags нажатием соответствующей кнопки","1926","Переход со страницы /questions на страницу /tags","","Fri May 23 15:19:30 GMT 2025","passed","Fri May 23 15:19:32 GMT 2025","","test_dashboard","",""
"","0","test_discard_question[chromium]","","Fri May 23 15:19:38 GMT 2025","skipped","Fri May 23 15:19:38 GMT 2025","","test_questions","",""
"","2","MOCK: Проверка размера страницы через API","","Fri May 23 15:19:33 GMT 2025","passed","Fri May 23 15:19:33 GMT 2025","","test_tags","",""
"","211","test_pagination_pagesize","","Fri May 23 15:19:33 GMT 2025","passed","Fri May 23 15:19:33 GMT 2025","TestTagsPagination","test_tags","",""
"Проверка соответствия данных пагинации между UI и API","1510","Сравнение данных пагинации между UI и API","","Fri May 23 15:19:29 GMT 2025","passed","Fri May 23 15:19:30 GMT 2025","TestTagsPagination","test_tags","",""
"Проверка корректности количества тегов при разных значениях pagesize","129","Проверка размера страницы через API","","Fri May 23 15:19:33 GMT 2025","passed","Fri May 23 15:19:33 GMT 2025","TestTagsPagination","test_tags","",""
"Проверка что на странице отображается 36 тегов по умолчанию","1805","Проверка количества тегов на странице по умолчанию (36)","","Fri May 23 15:19:21 GMT 2025","passed","Fri May 23 15:19:23 GMT 2025","TestTagsPagination","test_tags","",""
"Проверка что на 1 странице не отображается кнопка Prev","1357","Проверка отображения кнопки Prev на 1 странице","","Fri May 23 15:19:31 GMT 2025","passed","Fri May 23 15:19:32 GMT 2025","TestTagsPagination","test_tags","",""
"","0","test_create_question[chromium]","","Fri May 23 15:19:38 GMT 2025","skipped","Fri May 23 15:19:38 GMT 2025","","test_questions","",""
"Проверка корректности количества тегов при разных значениях pagesize","162","Проверка размера страницы через API","","Fri May 23 15:19:33 GMT 2025","passed","Fri May 23 15:19:33 GMT 2025","TestTagsPagination","test_tags","",""
"Проверка корректности перехода между страницами","1087","Проверка перехода между страницами","","Fri May 23 15:19:23 GMT 2025","passed","Fri May 23 15:19:24 GMT 2025","TestTagsPagination","test_tags","",""
"","30646","test_question_title_match[chromium-4]","","Fri May 23 15:19:47 GMT 2025","skipped","Fri May 23 15:20:17 GMT 2025","","test_questions","",""
"","278","test_API_users[chromium]","","Fri May 23 15:19:46 GMT 2025","passed","Fri May 23 15:19:46 GMT 2025","","test_questions","",""
"","2079","test_click_questions_button[chromium]","","Fri May 23 15:19:41 GMT 2025","passed","Fri May 23 15:19:43 GMT 2025","","test_dashboard","",""
"","1840","test_click_discussions_button[chromium]","","Fri May 23 15:19:37 GMT 2025","passed","Fri May 23 15:19:39 GMT 2025","","test_dashboard","",""
"Проверка корректности количества тегов при разных значениях pagesize","167","Проверка размера страницы через API","","Fri May 23 15:19:33 GMT 2025","passed","Fri May 23 15:19:33 GMT 2025","TestTagsPagination","test_tags","",""
"","12422","test_create_duplicate_question[chromium]","","Fri May 23 15:19:25 GMT 2025","passed","Fri May 23 15:19:38 GMT 2025","","test_questions","",""
"","1620","test_click_collectives_button[chromium]","","Fri May 23 15:19:39 GMT 2025","passed","Fri May 23 15:19:41 GMT 2025","","test_dashboard","",""
"","0","test_search[chromium]","","Fri May 23 15:19:43 GMT 2025","skipped","Fri May 23 15:19:43 GMT 2025","","test_dashboard","",""
"","514","test_pagination_empty_page[chromium]","","Fri May 23 15:19:30 GMT 2025","passed","Fri May 23 15:19:31 GMT 2025","TestTagsPagination","test_tags","",""
"","1817","test_click_users_button[chromium]","","Fri May 23 15:19:32 GMT 2025","passed","Fri May 23 15:19:34 GMT 2025","","test_dashboard","",""
"","8424","Авторизация с корректными учетными данными","","Fri May 23 15:19:24 GMT 2025","skipped","Fri May 23 15:19:33 GMT 2025","TestLogin","test_login","",""
"","30633","test_question_title_match[chromium-79535884]","","Fri May 23 15:20:18 GMT 2025","skipped","Fri May 23 15:20:48 GMT 2025","","test_questions","",""
"","0","test_welcome_message[chromium]","","Fri May 23 15:19:41 GMT 2025","skipped","Fri May 23 15:19:41 GMT 2025","","test_home","",""
