"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1900","test_click_users_button[chromium]","","Tue May 20 11:53:00 GMT 2025","passed","Tue May 20 11:53:02 GMT 2025","","test_dashboard","",""
"","124","test_pagination_pagesize","","Tue May 20 11:53:00 GMT 2025","passed","Tue May 20 11:53:00 GMT 2025","TestTagsPagination","test_tags","",""
"","1639","test_click_discussions_button[chromium]","","Tue May 20 11:53:05 GMT 2025","broken","Tue May 20 11:53:07 GMT 2025","","test_dashboard","",""
"","0","test_welcome_message[chromium]","","Tue May 20 11:53:08 GMT 2025","skipped","Tue May 20 11:53:08 GMT 2025","","test_home","",""
"","0","test_search[chromium]","","Tue May 20 11:53:22 GMT 2025","skipped","Tue May 20 11:53:22 GMT 2025","","test_dashboard","",""
"","0","test_discard_question[chromium]","","Tue May 20 11:53:05 GMT 2025","skipped","Tue May 20 11:53:05 GMT 2025","","test_questions","",""
"Переход со страницы /questions на страницу /tags нажатием соответствующей кнопки","1851","Переход со страницы /questions на страницу /tags","","Tue May 20 11:52:58 GMT 2025","passed","Tue May 20 11:53:00 GMT 2025","","test_dashboard","",""
"Проверка корректности перехода между страницами","1124","Проверка перехода между страницами","","Tue May 20 11:52:51 GMT 2025","passed","Tue May 20 11:52:52 GMT 2025","TestTagsPagination","test_tags","",""
"Проверка корректности количества тегов при разных значениях pagesize","109","Проверка размера страницы через API","","Tue May 20 11:53:00 GMT 2025","passed","Tue May 20 11:53:00 GMT 2025","TestTagsPagination","test_tags","",""
"Проверка корректности количества тегов при разных значениях pagesize","146","Проверка размера страницы через API","","Tue May 20 11:53:00 GMT 2025","passed","Tue May 20 11:53:00 GMT 2025","TestTagsPagination","test_tags","",""
"","1","MOCK: Проверка размера страницы через API","","Tue May 20 11:53:00 GMT 2025","passed","Tue May 20 11:53:00 GMT 2025","","test_tags","",""
"","4946","Выход из профиля (Log Out), используя панель","","Tue May 20 11:52:53 GMT 2025","passed","Tue May 20 11:52:58 GMT 2025","","test_dashboard","",""
"","8172","Авторизация с корректными учетными данными","","Tue May 20 11:52:52 GMT 2025","skipped","Tue May 20 11:53:00 GMT 2025","TestLogin","test_login","",""
"","30595","test_question_title_match[chromium-4]","","Tue May 20 11:53:14 GMT 2025","broken","Tue May 20 11:53:44 GMT 2025","","test_questions","",""
"","0","test_create_question[chromium]","","Tue May 20 11:53:05 GMT 2025","skipped","Tue May 20 11:53:05 GMT 2025","","test_questions","",""
"","178","test_API_users[chromium]","","Tue May 20 11:53:13 GMT 2025","passed","Tue May 20 11:53:13 GMT 2025","","test_questions","",""
"","2447","test_click_companies_button[chromium]","","Tue May 20 11:53:02 GMT 2025","passed","Tue May 20 11:53:05 GMT 2025","","test_dashboard","",""
"Тест входа с неправильными учетными данными","2967","Авторизация с некорректными учетными данными","","Tue May 20 11:52:49 GMT 2025","passed","Tue May 20 11:52:52 GMT 2025","TestLogin","test_login","",""
"Проверка соответствия данных пагинации между UI и API","1430","Сравнение данных пагинации между UI и API","","Tue May 20 11:52:56 GMT 2025","passed","Tue May 20 11:52:57 GMT 2025","TestTagsPagination","test_tags","",""
"","7777","Авторизация с корректными учетными данными","","Tue May 20 11:53:00 GMT 2025","skipped","Tue May 20 11:53:08 GMT 2025","TestLogin","test_login","",""
"Проверка корректности перехода между страницами","1660","Проверка перехода между страницами","","Tue May 20 11:52:54 GMT 2025","passed","Tue May 20 11:52:56 GMT 2025","TestTagsPagination","test_tags","",""
"","12817","test_create_duplicate_question[chromium]","","Tue May 20 11:52:52 GMT 2025","passed","Tue May 20 11:53:05 GMT 2025","","test_questions","",""
"","384","test_pagination_empty_page[chromium]","","Tue May 20 11:52:58 GMT 2025","passed","Tue May 20 11:52:58 GMT 2025","TestTagsPagination","test_tags","",""
"","30602","test_question_title_match[chromium-79535884]","","Tue May 20 11:53:45 GMT 2025","broken","Tue May 20 11:54:15 GMT 2025","","test_questions","",""
"Проверка корректности перехода между страницами","1737","Проверка перехода между страницами","","Tue May 20 11:52:52 GMT 2025","passed","Tue May 20 11:52:54 GMT 2025","TestTagsPagination","test_tags","",""
"","12931","test_click_collectives_button[chromium]","","Tue May 20 11:53:07 GMT 2025","passed","Tue May 20 11:53:20 GMT 2025","","test_dashboard","",""
"Проверка корректности количества тегов при разных значениях pagesize","203","Проверка размера страницы через API","","Tue May 20 11:53:00 GMT 2025","passed","Tue May 20 11:53:00 GMT 2025","TestTagsPagination","test_tags","",""
"Проверка что на 1 странице не отображается кнопка Prev","1298","Проверка отображения кнопки Prev на 1 странице","","Tue May 20 11:52:58 GMT 2025","passed","Tue May 20 11:52:59 GMT 2025","TestTagsPagination","test_tags","",""
"Проверка что на странице отображается 36 тегов по умолчанию","1808","Проверка количества тегов на странице по умолчанию (36)","","Tue May 20 11:52:49 GMT 2025","passed","Tue May 20 11:52:50 GMT 2025","TestTagsPagination","test_tags","",""
"","1804","test_click_questions_button[chromium]","","Tue May 20 11:53:20 GMT 2025","passed","Tue May 20 11:53:22 GMT 2025","","test_dashboard","",""
