"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30605","test_question_title_match[chromium-79535884]","","Tue May 20 15:44:56 GMT 2025","skipped","Tue May 20 15:45:26 GMT 2025","","test_questions","",""
"","30630","test_question_title_match[chromium-4]","","Tue May 20 15:44:24 GMT 2025","skipped","Tue May 20 15:44:55 GMT 2025","","test_questions","",""
"","0","test_search[chromium]","","Tue May 20 15:44:21 GMT 2025","skipped","Tue May 20 15:44:21 GMT 2025","","test_dashboard","",""
"","4855","Выход из профиля (Log Out), используя панель","","Tue May 20 15:44:03 GMT 2025","passed","Tue May 20 15:44:08 GMT 2025","","test_dashboard","",""
"Тест входа с неправильными учетными данными","3393","Авторизация с некорректными учетными данными","","Tue May 20 15:43:59 GMT 2025","passed","Tue May 20 15:44:02 GMT 2025","TestLogin","test_login","",""
"","371","test_pagination_empty_page[chromium]","","Tue May 20 15:44:08 GMT 2025","passed","Tue May 20 15:44:09 GMT 2025","TestTagsPagination","test_tags","",""
"Переход со страницы /questions на страницу /tags нажатием соответствующей кнопки","1849","Переход со страницы /questions на страницу /tags","","Tue May 20 15:44:08 GMT 2025","passed","Tue May 20 15:44:10 GMT 2025","","test_dashboard","",""
"","8424","Авторизация с корректными учетными данными","","Tue May 20 15:44:03 GMT 2025","skipped","Tue May 20 15:44:11 GMT 2025","TestLogin","test_login","",""
"","228","test_pagination_pagesize","","Tue May 20 15:44:11 GMT 2025","passed","Tue May 20 15:44:11 GMT 2025","TestTagsPagination","test_tags","",""
"","7838","Авторизация с корректными учетными данными","","Tue May 20 15:44:11 GMT 2025","skipped","Tue May 20 15:44:19 GMT 2025","TestLogin","test_login","",""
"","1704","test_click_collectives_button[chromium]","","Tue May 20 15:44:17 GMT 2025","passed","Tue May 20 15:44:18 GMT 2025","","test_dashboard","",""
"Проверка корректности перехода между страницами","1725","Проверка перехода между страницами","","Tue May 20 15:44:02 GMT 2025","passed","Tue May 20 15:44:04 GMT 2025","TestTagsPagination","test_tags","",""
"","1969","test_click_companies_button[chromium]","","Tue May 20 15:44:12 GMT 2025","passed","Tue May 20 15:44:14 GMT 2025","","test_dashboard","",""
"","1980","test_click_questions_button[chromium]","","Tue May 20 15:44:19 GMT 2025","passed","Tue May 20 15:44:21 GMT 2025","","test_dashboard","",""
"","0","test_create_question[chromium]","","Tue May 20 15:44:16 GMT 2025","skipped","Tue May 20 15:44:16 GMT 2025","","test_questions","",""
"","0","test_discard_question[chromium]","","Tue May 20 15:44:16 GMT 2025","skipped","Tue May 20 15:44:16 GMT 2025","","test_questions","",""
"Проверка соответствия данных пагинации между UI и API","1848","Сравнение данных пагинации между UI и API","","Tue May 20 15:44:06 GMT 2025","passed","Tue May 20 15:44:08 GMT 2025","TestTagsPagination","test_tags","",""
"","168","test_API_users[chromium]","","Tue May 20 15:44:24 GMT 2025","passed","Tue May 20 15:44:24 GMT 2025","","test_questions","",""
"","2","MOCK: Проверка размера страницы через API","","Tue May 20 15:44:11 GMT 2025","passed","Tue May 20 15:44:11 GMT 2025","","test_tags","",""
"Проверка корректности количества тегов при разных значениях pagesize","232","Проверка размера страницы через API","","Tue May 20 15:44:10 GMT 2025","passed","Tue May 20 15:44:11 GMT 2025","TestTagsPagination","test_tags","",""
"","1966","test_click_discussions_button[chromium]","","Tue May 20 15:44:14 GMT 2025","passed","Tue May 20 15:44:16 GMT 2025","","test_dashboard","",""
"Проверка что на 1 странице не отображается кнопка Prev","1314","Проверка отображения кнопки Prev на 1 странице","","Tue May 20 15:44:09 GMT 2025","passed","Tue May 20 15:44:10 GMT 2025","TestTagsPagination","test_tags","",""
"Проверка корректности количества тегов при разных значениях pagesize","145","Проверка размера страницы через API","","Tue May 20 15:44:11 GMT 2025","passed","Tue May 20 15:44:11 GMT 2025","TestTagsPagination","test_tags","",""
"Проверка корректности количества тегов при разных значениях pagesize","329","Проверка размера страницы через API","","Tue May 20 15:44:11 GMT 2025","passed","Tue May 20 15:44:11 GMT 2025","TestTagsPagination","test_tags","",""
"","12374","test_create_duplicate_question[chromium]","","Tue May 20 15:44:03 GMT 2025","passed","Tue May 20 15:44:16 GMT 2025","","test_questions","",""
"Проверка корректности перехода между страницами","1176","Проверка перехода между страницами","","Tue May 20 15:44:01 GMT 2025","passed","Tue May 20 15:44:02 GMT 2025","TestTagsPagination","test_tags","",""
"","1843","test_click_users_button[chromium]","","Tue May 20 15:44:10 GMT 2025","passed","Tue May 20 15:44:12 GMT 2025","","test_dashboard","",""
"Проверка корректности перехода между страницами","1681","Проверка перехода между страницами","","Tue May 20 15:44:04 GMT 2025","passed","Tue May 20 15:44:06 GMT 2025","TestTagsPagination","test_tags","",""
"Проверка что на странице отображается 36 тегов по умолчанию","1869","Проверка количества тегов на странице по умолчанию (36)","","Tue May 20 15:43:59 GMT 2025","passed","Tue May 20 15:44:01 GMT 2025","TestTagsPagination","test_tags","",""
"","0","test_welcome_message[chromium]","","Tue May 20 15:44:19 GMT 2025","skipped","Tue May 20 15:44:19 GMT 2025","","test_home","",""
