"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_discard_question[chromium]","","Wed Apr 02 22:06:12 GMT 2025","skipped","Wed Apr 02 22:06:12 GMT 2025","","test_questions","",""
"Проверка корректности количества тегов при разных значениях pagesize","130","Проверка размера страницы через API","","Wed Apr 02 22:06:07 GMT 2025","passed","Wed Apr 02 22:06:07 GMT 2025","TestTagsPagination","test_tags","",""
"","403","test_pagination_empty_page[chromium]","","Wed Apr 02 22:06:05 GMT 2025","passed","Wed Apr 02 22:06:05 GMT 2025","TestTagsPagination","test_tags","",""
"","7921","Авторизация с корректными учетными данными","","Wed Apr 02 22:06:00 GMT 2025","skipped","Wed Apr 02 22:06:07 GMT 2025","TestLogin","test_login","",""
"Проверка что на 1 странице не отображается кнопка Prev","1243","Проверка отображения кнопки Prev на 1 странице","","Wed Apr 02 22:06:05 GMT 2025","passed","Wed Apr 02 22:06:07 GMT 2025","TestTagsPagination","test_tags","",""
"","7735","Авторизация с корректными учетными данными","","Wed Apr 02 22:06:08 GMT 2025","skipped","Wed Apr 02 22:06:15 GMT 2025","TestLogin","test_login","",""
"","4179","Выход из профиля (Log Out), используя панель","","Wed Apr 02 22:06:01 GMT 2025","passed","Wed Apr 02 22:06:05 GMT 2025","","test_dashboard","",""
"Тест входа с неправильными учетными данными","2845","Авторизация с некорректными учетными данными","","Wed Apr 02 22:05:57 GMT 2025","passed","Wed Apr 02 22:05:59 GMT 2025","TestLogin","test_login","",""
"","11992","test_create_duplicate_question[chromium]","","Wed Apr 02 22:06:00 GMT 2025","passed","Wed Apr 02 22:06:12 GMT 2025","","test_questions","",""
"","1700","test_click_discussions_button[chromium]","","Wed Apr 02 22:06:11 GMT 2025","passed","Wed Apr 02 22:06:13 GMT 2025","","test_dashboard","",""
"","1227","test_question_title_match[chromium-4]","","Wed Apr 02 22:06:21 GMT 2025","passed","Wed Apr 02 22:06:22 GMT 2025","","test_questions","",""
"Проверка соответствия данных пагинации между UI и API","1447","Сравнение данных пагинации между UI и API","","Wed Apr 02 22:06:03 GMT 2025","passed","Wed Apr 02 22:06:05 GMT 2025","TestTagsPagination","test_tags","",""
"Проверка корректности количества тегов при разных значениях pagesize","126","Проверка размера страницы через API","","Wed Apr 02 22:06:07 GMT 2025","passed","Wed Apr 02 22:06:07 GMT 2025","TestTagsPagination","test_tags","",""
"","85","test_pagination_pagesize","","Wed Apr 02 22:06:07 GMT 2025","passed","Wed Apr 02 22:06:07 GMT 2025","TestTagsPagination","test_tags","",""
"Проверка корректности количества тегов при разных значениях pagesize","225","Проверка размера страницы через API","","Wed Apr 02 22:06:07 GMT 2025","passed","Wed Apr 02 22:06:07 GMT 2025","TestTagsPagination","test_tags","",""
"","1368","test_question_title_match[chromium-79535884]","","Wed Apr 02 22:06:22 GMT 2025","passed","Wed Apr 02 22:06:24 GMT 2025","","test_questions","",""
"","9726","test_click_collectives_button[chromium]","","Wed Apr 02 22:06:13 GMT 2025","passed","Wed Apr 02 22:06:23 GMT 2025","","test_dashboard","",""
"","172","test_API_users[chromium]","","Wed Apr 02 22:06:20 GMT 2025","passed","Wed Apr 02 22:06:21 GMT 2025","","test_questions","",""
"Проверка корректности перехода между страницами","1545","Проверка перехода между страницами","","Wed Apr 02 22:06:00 GMT 2025","passed","Wed Apr 02 22:06:01 GMT 2025","TestTagsPagination","test_tags","",""
"","0","test_welcome_message[chromium]","","Wed Apr 02 22:06:16 GMT 2025","skipped","Wed Apr 02 22:06:16 GMT 2025","","test_home","",""
"","0","test_search[chromium]","","Wed Apr 02 22:06:25 GMT 2025","skipped","Wed Apr 02 22:06:25 GMT 2025","","test_dashboard","",""
"","0","test_create_question[chromium]","","Wed Apr 02 22:06:12 GMT 2025","skipped","Wed Apr 02 22:06:12 GMT 2025","","test_questions","",""
"Проверка корректности перехода между страницами","1095","Проверка перехода между страницами","","Wed Apr 02 22:05:58 GMT 2025","passed","Wed Apr 02 22:06:00 GMT 2025","TestTagsPagination","test_tags","",""
"Переход со страницы /questions на страницу /tags нажатием соответствующей кнопки","1782","Переход со страницы /questions на страницу /tags","","Wed Apr 02 22:06:05 GMT 2025","passed","Wed Apr 02 22:06:07 GMT 2025","","test_dashboard","",""
"Проверка что на странице отображается 36 тегов по умолчанию","1771","Проверка количества тегов на странице по умолчанию (36)","","Wed Apr 02 22:05:57 GMT 2025","passed","Wed Apr 02 22:05:58 GMT 2025","TestTagsPagination","test_tags","",""
"","1849","test_click_companies_button[chromium]","","Wed Apr 02 22:06:09 GMT 2025","passed","Wed Apr 02 22:06:11 GMT 2025","","test_dashboard","",""
"","1894","test_click_questions_button[chromium]","","Wed Apr 02 22:06:23 GMT 2025","passed","Wed Apr 02 22:06:25 GMT 2025","","test_dashboard","",""
"","1814","test_click_users_button[chromium]","","Wed Apr 02 22:06:07 GMT 2025","passed","Wed Apr 02 22:06:09 GMT 2025","","test_dashboard","",""
"Проверка корректности перехода между страницами","1326","Проверка перехода между страницами","","Wed Apr 02 22:06:02 GMT 2025","passed","Wed Apr 02 22:06:03 GMT 2025","TestTagsPagination","test_tags","",""
